;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Código da Escola;Nome da Escola;Loclização;Unidade da Federação;Município
;;;;
;;;;
PK_COD_ENTIDADE;Nome_Escola;Localizacao;UF;Municipio
41003853;PEQUENO POLEGAR C M E I;Urbana;Paraná;SAO PEDRO DO PARANA
41003888;DUILIO T BELTRAO C E DR EF M;Urbana;Paraná;TAMBOARA
41003918;TAMBOARA E M EF;Urbana;Paraná;TAMBOARA
41003926;SELMA R DOS SANTOS E PROFA EI EF MOD EE;Urbana;Paraná;TERRA RICA
41003934;DIRCE DIONISIO RODRIGUES E M EI EF;Urbana;Paraná;TERRA RICA
41003969;JAMES P CLARK C E EM N;Urbana;Paraná;TERRA RICA
41003977;MONTEIRO LOBATO E E C E F;Urbana;Paraná;TERRA RICA
41004019;PEQUENO PRINCIPE E M EI EF;Urbana;Paraná;TERRA RICA
41004027;RITA DE CASSIA G LEHN E M EI EF;Urbana;Paraná;TERRA RICA
41004035;ROSALINA DE MORAES E M EI EF;Urbana;Paraná;TERRA RICA
41004051;SANTO INACIO DE LOYOLA C E EF M;Urbana;Paraná;TERRA RICA
41004078;HYRAILDES E PROFA EI EF;Urbana;Paraná;ALTONIA
41004086;ANALIA FRANCO E E EF;Urbana;Paraná;ALTONIA
41004108;BETANIA C EI EF M;Rural;Paraná;ALTONIA
41004124;CANDIDO M M OLIVEIRA E M ENS FUND;Rural;Paraná;ALTONIA
41004132;CARLOS GOMES E M EI EF;Urbana;Paraná;ALTONIA
41004167;BOSCO DE ALTONIA E D EI EF;Urbana;Paraná;ALTONIA
41004337;JAYME C JUNIOR E M GOV EI EF;Urbana;Paraná;ALTONIA
41004388;LUCIA A DE OLIVEIRA SCHOFFEN C E EF M;Urbana;Paraná;ALTONIA
41004400;MALBA TAHAN C E EM;Urbana;Paraná;ALTONIA
41004434;MATHEUS LEME E M EF;Rural;Paraná;ALTONIA
